age,workclass,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
43,Private,7th-8th,Married-civ-spouse,Other-service,Husband,White,Male,0,0,25,United-States
61,State-gov,HS-grad,Widowed,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States
52,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,50,United-States
35,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States
76,Private,10th,Married-civ-spouse,Prof-specialty,Husband,White,Male,1173,0,40,United-States
51,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States
53,Self-emp-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Greece
30,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States
40,Federal-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States
35,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,65,Hong
38,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States
30,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States
31,Private,Assoc-acdm,Divorced,Other-service,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States
30,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,0,1602,30,United-States
67,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1539,40,United-States
53,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States
19,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,0,0,30,United-States
33,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,0,0,80,United-States
63,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States
43,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,50,United-States
31,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Male,0,0,45,United-States
28,Private,Bachelors,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States
23,Private,5th-6th,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,40,Mexico
60,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
31,Self-emp-inc,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0,0,44,United-States
43,Local-gov,Bachelors,Divorced,Prof-specialty,Unmarried,White,Female,0,0,48,United-States
57,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States
20,Private,Some-college,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States
49,Private,5th-6th,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,45,United-States
55,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,40,United-States
40,State-gov,Masters,Divorced,Prof-specialty,Unmarried,White,Female,0,0,20,United-States
22,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,2407,0,40,United-States
26,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
49,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
23,Private,Some-college,Divorced,Other-service,Own-child,White,Female,0,0,24,United-States
46,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
51,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States
31,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States
18,Private,11th,Never-married,Prof-specialty,Own-child,White,Male,0,0,25,United-States
29,Self-emp-not-inc,Some-college,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Male,0,0,45,South
22,Private,11th,Never-married,Sales,Unmarried,White,Female,0,0,30,United-States
20,Private,Some-college,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States
43,Private,Assoc-acdm,Divorced,Craft-repair,Not-in-family,White,Male,0,2444,70,United-States
25,Private,HS-grad,Never-married,Sales,Unmarried,White,Male,0,0,40,United-States
29,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,White,Male,0,0,56,United-States
58,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States
22,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,0,0,25,United-States
33,Private,Bachelors,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,7688,0,38,United-States
35,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,38,United-States
51,Private,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,Canada
28,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
48,Self-emp-inc,10th,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
38,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,70,United-States
45,Private,1st-4th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico
41,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
32,Private,Bachelors,Divorced,Prof-specialty,Unmarried,White,Female,0,0,32,United-States
34,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,0,3770,45,United-States
48,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,52,United-States
19,Self-emp-not-inc,11th,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
47,Self-emp-not-inc,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,7298,0,40,United-States
47,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States
62,Local-gov,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,2829,0,40,United-States
41,Private,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States
58,Local-gov,Some-college,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,55,United-States
35,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
38,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States
32,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,84,United-States
45,Private,1st-4th,Married-civ-spouse,Other-service,Wife,White,Female,0,0,25,El-Salvador
35,Private,Bachelors,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States
30,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Female,0,0,8,United-States
52,Private,HS-grad,Divorced,Other-service,Other-relative,Black,Female,0,0,38,United-States
47,Private,10th,Widowed,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States
65,Private,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,20,United-States
59,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
32,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
61,Local-gov,Bachelors,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States
36,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1977,65,United-States
41,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,0,0,50,United-States
51,Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,7688,0,40,United-States
30,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,3325,0,50,United-States
42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2002,40,United-States
19,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,24,United-States
30,Private,Some-college,Never-married,Other-service,Unmarried,White,Female,0,0,36,United-States
47,State-gov,Masters,Separated,Prof-specialty,Not-in-family,White,Male,0,0,38,United-States
21,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,4101,0,40,United-States
42,Self-emp-not-inc,11th,Separated,Other-service,Unmarried,White,Female,0,0,30,United-States
31,Private,Assoc-voc,Never-married,Other-service,Not-in-family,Black,Female,0,0,40,United-States
42,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
25,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States
50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,40,United-States
34,Local-gov,Some-college,Never-married,Protective-serv,Own-child,White,Male,0,0,40,United-States
18,State-gov,HS-grad,Never-married,Other-service,Own-child,White,Male,0,0,25,United-States
50,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States
17,Private,11th,Never-married,Other-service,Own-child,White,Female,0,0,7,United-States
41,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States
22,Private,11th,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States
33,Private,10th,Never-married,Other-service,Own-child,Black,Male,0,0,20,United-States
30,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States
31,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico
64,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,2635,0,10,United-States
25,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Male,0,0,60,United-States
28,Private,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1887,40,United-States
49,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States
22,Private,Assoc-voc,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States
30,Private,Masters,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,30,United-States
49,State-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
54,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States
22,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Female,0,0,20,United-States
42,State-gov,Some-college,Separated,Tech-support,Unmarried,White,Female,0,0,40,United-States
24,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,60,United-States
77,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,15,United-States
17,Private,9th,Never-married,Prof-specialty,Own-child,Black,Male,0,0,40,United-States
56,Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,25,United-States
20,Private,11th,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,25,United-States
56,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,18,United-States
56,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
22,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,0,0,25,United-States
39,Private,Some-college,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States
32,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
64,Private,12th,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,24,United-States
33,Private,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States
59,Private,10th,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States
41,Private,5th-6th,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Mexico
33,Private,HS-grad,Never-married,Transport-moving,Other-relative,Asian-Pac-Islander,Male,0,0,40,United-States
19,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,594,0,20,United-States
